"CARREFOUR BR","NM","2/20/2020","2/20/2020","2/20/2020","2/20/2020","4/14/2020","4/14/2020","6/15/2020","6/15/2020","","","5/11/2020","5/11/2020","7/27/2020","","11/10/2020","","2/21/2020","","5/12/2020","","7/28/2020","","11/11/2020",""
"CCR SA","NM","3/5/2020","3/5/2020","3/5/2020","3/5/2020","4/9/2020","4/9/2020","6/12/2020","6/12/2020","","","5/14/2020","5/14/2020","8/14/2020","","11/13/2020","","3/6/2020","","5/15/2020","","8/17/2020","","11/16/2020",""
"CEA MODAS","NM","3/19/2020","3/19/2020","3/19/2020","3/19/2020","6/26/2020","6/26/2020","7/10/2020","7/10/2020","","","5/27/2020","5/27/2020","8/19/2020","","11/12/2020","","3/20/2020","","5/28/2020","","8/20/2020","","11/13/2020",""
"CEDRO","N1","3/27/2020","3/27/2020","3/27/2020","3/27/2020","7/31/2020","7/31/2020","7/31/2020","7/31/2020","8/3/2020","","6/29/2020","6/29/2020","8/14/2020","","11/13/2020","","","","","","","","",""
"CEEE-D","N1","3/30/2020","3/30/2020","3/30/2020","3/30/2020","4/30/2020","4/30/2020","5/29/2020","5/29/2020","12/9/2020","","5/15/2020","5/15/2020","8/14/2020","","11/13/2020","","","","","","","","",""
"CEEE-GT","N1","3/30/2020","3/30/2020","3/30/2020","3/30/2020","4/30/2020","4/30/2020","5/29/2020","5/29/2020","12/9/2020","","5/15/2020","5/15/2020","8/14/2020","","11/13/2020","","","","","","","","",""
"CELESC","N2","3/27/2020","3/27/2020","3/27/2020","3/27/2020","4/28/2020","4/28/2020","7/20/2020","7/20/2020","5/29/2020","5/29/2020","5/8/2020","5/8/2020","8/14/2020","","11/13/2020","","","","","","","","",""
"CEMIG","N1","3/19/2020","3/19/2020","3/19/2020","3/19/2020","7/31/2020","7/31/2020","7/22/2020","7/22/2020","10/30/2020","","5/15/2020","5/15/2020","8/14/2020","","11/13/2020","","","","","","","","",""
"CENTAURO","NM","3/18/2020","3/18/2020","3/18/2020","3/18/2020","4/30/2020","4/30/2020","5/26/2020","5/26/2020","","","6/29/2020","6/29/2020","8/13/2020","","11/12/2020","","3/19/2020","","6/30/2020","","8/14/2020","","11/13/2020",""
"CESP","N1","2/17/2020","2/17/2020","2/17/2020","2/17/2020","3/30/2020","3/30/2020","5/28/2020","5/28/2020","10/29/2020","","4/29/2020","4/29/2020","7/29/2020","","10/28/2020","","","","","","","","",""
