NOME DE PREGÃO,SEGMENTO,Demonstrações Financeiras do Exercício,Unnamed: 3,Unnamed: 4,Unnamed: 5,Assembléia Geral Ordinária,Unnamed: 7,Formulário de Referência,Unnamed: 9,Reunião Pública com Analistas,Unnamed: 11,Informações do 1º Trimestre - ITR,Unnamed: 13,Informações do 2º Trimestre - ITR,Unnamed: 15,Informações do 3º Trimestre - ITR,Unnamed: 17,Apresentação Pública sobre Divulgação de Resultados,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Atualizado,2020-10-16 00:00:00
,,Demonstrações Financeiras Anuais Completas,,Padronizadas - DFP,,,,,,,,,,,,,,Exercício Social,,1º trimestre,,2º trimestre,,3º trimestre,,,,
,,Previsão,Entrega,Previsão,Entrega,Previsão,Realização ,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Entrega,Previsão,Entrega,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,,,
SABESP,NM,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-04-28 00:00:00,2020-04-28 00:00:00,2020-06-25 00:00:00,2020-06-24 00:00:00,,2020-01-09 00:00:00,2020-05-14 00:00:00,2020-05-14 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-11-12 00:00:00,,2020-03-31 00:00:00,,2020-05-19 00:00:00,2020-05-18 00:00:00,2020-08-18 00:00:00,2020-08-17 00:00:00,2020-11-17 00:00:00,,,,
SANEPAR,N2,2020-02-06 00:00:00,2020-02-06 00:00:00,2020-02-06 00:00:00,2020-02-06 00:00:00,2020-04-23 00:00:00,2020-04-23 00:00:00,2020-05-29 00:00:00,2020-05-29 00:00:00,2020-08-19 00:00:00,2020-08-19 00:00:00,2020-05-07 00:00:00,2020-05-07 00:00:00,2020-08-07 00:00:00,2020-08-07 00:00:00,2020-11-05 00:00:00,,,,,,,,,,,,
SANTOS BRP,NM,2020-03-05 00:00:00,2020-03-05 00:00:00,2020-03-05 00:00:00,2020-03-05 00:00:00,2020-04-28 00:00:00,2020-04-28 00:00:00,2020-05-28 00:00:00,2020-05-28 00:00:00,,,2020-05-12 00:00:00,2020-05-12 00:00:00,2020-08-11 00:00:00,2020-08-11 00:00:00,2020-11-10 00:00:00,,2020-03-06 00:00:00,,2020-05-13 00:00:00,2020-05-13 00:00:00,2020-08-12 00:00:00,2020-08-12 00:00:00,2020-11-11 00:00:00,,,,
SAO CARLOS,NM,2020-03-05 00:00:00,2020-03-05 00:00:00,2020-03-05 00:00:00,2020-03-05 00:00:00,2020-04-30 00:00:00,2020-04-30 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,,,2020-05-07 00:00:00,2020-05-07 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-11-04 00:00:00,,2020-03-06 00:00:00,,2020-05-08 00:00:00,2020-05-07 00:00:00,2020-08-14 00:00:00,2020-08-13 00:00:00,2020-11-05 00:00:00,,,,
SAO MARTINHO,NM,2020-06-29 00:00:00,2020-06-29 00:00:00,2020-06-29 00:00:00,2020-06-29 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,2020-08-31 00:00:00,,,,2020-08-10 00:00:00,2020-08-10 00:00:00,2020-11-09 00:00:00,2020-08-10 00:00:00,2021-02-08 00:00:00,,2020-06-30 00:00:00,,2020-08-11 00:00:00,2020-08-11 00:00:00,2020-11-10 00:00:00,,2021-02-09 00:00:00,,,,
SARAIVA LIVR,N2,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-05-29 00:00:00,2020-05-29 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,2020-12-01 00:00:00,,2020-06-15 00:00:00,2020-06-15 00:00:00,2020-08-21 00:00:00,2020-08-21 00:00:00,2020-11-12 00:00:00,,2020-05-29 00:00:00,,,,,,,,,,
SEQUOIA LOG,NM,2020-08-13 00:00:00,,2020-08-13 00:00:00,,2020-07-31 00:00:00,,2020-08-13 00:00:00,,,,2020-08-12 00:00:00,,2020-08-12 00:00:00,2020-09-15 00:00:00,2020-11-13 00:00:00,,2020-08-13 00:00:00,,2020-08-13 00:00:00,,2020-08-13 00:00:00,,2020-11-16 00:00:00,,,,
SER EDUCA,NM,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-04-30 00:00:00,2020-04-30 00:00:00,2020-05-29 00:00:00,2020-05-29 00:00:00,,,2020-05-15 00:00:00,2020-05-15 00:00:00,2020-08-24 00:00:00,2020-08-24 00:00:00,2020-11-11 00:00:00,,2020-03-27 00:00:00,,2020-05-15 00:00:00,2020-05-15 00:00:00,2020-08-25 00:00:00,2020-08-24 00:00:00,2020-11-11 00:00:00,,,,
SINQIA,NM,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-04-28 00:00:00,2020-04-28 00:00:00,2020-05-28 00:00:00,2020-05-28 00:00:00,,,2020-05-12 00:00:00,2020-05-12 00:00:00,2020-08-11 00:00:00,2020-08-11 00:00:00,2020-11-10 00:00:00,,2020-03-05 00:00:00,,2020-05-13 00:00:00,2020-05-13 00:00:00,2020-08-12 00:00:00,2020-08-12 00:00:00,2020-11-11 00:00:00,,,,
SLC AGRICOLA,NM,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-07-30 00:00:00,2020-07-30 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,,,2020-05-13 00:00:00,2020-05-13 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-11-06 00:00:00,,2020-03-12 00:00:00,,2020-05-14 00:00:00,2020-05-14 00:00:00,2020-08-14 00:00:00,2020-08-14 00:00:00,2020-11-09 00:00:00,,,,
SMART FIT,M2,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-05-20 00:00:00,2020-05-20 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,,,2020-05-28 00:00:00,2020-05-28 00:00:00,2020-08-27 00:00:00,2020-08-28 00:00:00,2020-11-16 00:00:00,,,,,,,,,,,,
SMILES,NM,2020-02-18 00:00:00,2020-02-18 00:00:00,2020-02-18 00:00:00,2020-02-18 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,,,2020-04-28 00:00:00,2020-04-28 00:00:00,2020-07-28 00:00:00,2020-07-28 00:00:00,2020-10-27 00:00:00,,2020-02-19 00:00:00,,2020-04-29 00:00:00,2020-04-29 00:00:00,2020-07-29 00:00:00,2020-07-29 00:00:00,2020-10-28 00:00:00,,,,
SPRINGS,NM,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-04-30 00:00:00,2020-04-30 00:00:00,2020-07-22 00:00:00,2020-07-22 00:00:00,,,2020-06-25 00:00:00,2020-06-25 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-11-12 00:00:00,,2020-03-30 00:00:00,,2020-06-26 00:00:00,2020-06-25 00:00:00,2020-08-14 00:00:00,2020-08-13 00:00:00,2020-11-13 00:00:00,,,,
STARA,MA,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-05-07 00:00:00,2020-05-07 00:00:00,2020-06-25 00:00:00,2020-06-25 00:00:00,,,2020-06-25 00:00:00,2020-06-25 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-11-12 00:00:00,,,,,,,,,,,,
SUL AMERICA,N2,2020-02-20 00:00:00,2020-02-20 00:00:00,2020-02-20 00:00:00,2020-02-20 00:00:00,2020-07-29 00:00:00,2020-07-29 00:00:00,2020-05-29 00:00:00,2020-05-29 00:00:00,2020-12-10 00:00:00,,2020-05-13 00:00:00,2020-05-13 00:00:00,2020-08-05 00:00:00,2020-08-05 00:00:00,2020-11-12 00:00:00,,,,,,,,,,,,
SUZANO SA,NM,2020-02-12 00:00:00,2020-02-12 00:00:00,2020-02-12 00:00:00,2020-02-12 00:00:00,2020-05-22 00:00:00,2020-05-22 00:00:00,2020-05-29 00:00:00,2020-05-29 00:00:00,,,2020-05-14 00:00:00,2020-05-14 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-10-29 00:00:00,,2020-02-13 00:00:00,,2020-05-15 00:00:00,2020-05-15 00:00:00,2020-08-14 00:00:00,2020-08-14 00:00:00,2020-10-30 00:00:00,,,,
TAESA,N2,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-04-30 00:00:00,2020-04-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-12-01 00:00:00,,2020-05-14 00:00:00,2020-05-14 00:00:00,2020-08-12 00:00:00,2020-08-12 00:00:00,2020-11-11 00:00:00,,,,,,,,,,,,
TAURUS ARMAS,N2,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-04-30 00:00:00,2020-04-30 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,2020-12-18 00:00:00,,2020-06-29 00:00:00,2020-06-29 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-11-16 00:00:00,,,,,,,,,,,,
TECHNOS,NM,2020-03-30 00:00:00,2020-03-31 00:00:00,2020-03-30 00:00:00,2020-03-31 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,,,2020-06-29 00:00:00,2020-06-29 00:00:00,2020-08-31 00:00:00,2020-08-31 00:00:00,2020-11-05 00:00:00,,2020-04-01 00:00:00,,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-09-01 00:00:00,2020-09-01 00:00:00,2020-11-06 00:00:00,,,,
TECNISA,NM,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-04-23 00:00:00,2020-04-23 00:00:00,2020-06-04 00:00:00,2020-06-04 00:00:00,,,2020-05-15 00:00:00,2020-05-14 00:00:00,2020-08-12 00:00:00,2020-08-12 00:00:00,2020-11-11 00:00:00,,2020-03-19 00:00:00,,2020-05-14 00:00:00,2020-05-15 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-11-12 00:00:00,,,,
TEGMA,NM,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-04-30 00:00:00,2020-04-30 00:00:00,2020-06-18 00:00:00,2020-06-18 00:00:00,,,2020-05-12 00:00:00,2020-05-12 00:00:00,2020-08-05 00:00:00,2020-08-05 00:00:00,2020-11-06 00:00:00,,2020-04-01 00:00:00,,2020-05-12 00:00:00,2020-05-13 00:00:00,2020-08-06 00:00:00,2020-08-06 00:00:00,2020-11-09 00:00:00,,,,
